pump_id,timestamp,pump_vibration_rms,flow_rate_lps,pipe_pressure_psi,chlorine_level_ppm
PUMP_001,2024-01-01 12:00:00,2.3,45.2,120.5,2.1
PUMP_001,2024-01-08 12:00:00,2.4,45.0,120.3,2.0
PUMP_001,2024-01-15 12:00:00,2.6,44.7,119.9,2.1
PUMP_001,2024-01-22 12:00:00,2.5,44.9,120.1,2.2
PUMP_001,2024-01-29 12:00:00,2.7,44.5,119.7,2.0
PUMP_001,2024-02-05 12:00:00,2.8,44.3,119.5,2.1
PUMP_001,2024-02-12 12:00:00,2.6,44.6,119.8,2.2
PUMP_001,2024-02-19 12:00:00,2.9,44.1,119.3,2.0
PUMP_001,2024-02-26 12:00:00,2.7,44.4,119.6,2.1
PUMP_001,2024-03-04 12:00:00,2.8,44.2,119.4,2.2
PUMP_001,2024-03-11 12:00:00,2.9,44.0,119.2,2.0
PUMP_001,2024-03-18 12:00:00,3.0,43.8,119.0,2.1
PUMP_001,2024-03-25 12:00:00,3.1,43.6,118.8,2.2
PUMP_002,2024-01-01 12:00:00,1.8,52.1,125.3,2.3
PUMP_002,2024-01-08 12:00:00,1.8,52.0,125.2,2.3
PUMP_002,2024-01-15 12:00:00,1.9,51.9,125.1,2.4
PUMP_002,2024-01-22 12:00:00,1.8,52.1,125.3,2.3
PUMP_002,2024-01-29 12:00:00,1.9,51.8,125.0,2.2
PUMP_002,2024-02-05 12:00:00,1.9,51.9,125.1,2.3
PUMP_002,2024-02-12 12:00:00,2.0,51.7,124.9,2.4
PUMP_002,2024-02-19 12:00:00,1.9,51.8,125.0,2.3
PUMP_002,2024-02-26 12:00:00,2.0,51.6,124.8,2.2
PUMP_002,2024-03-04 12:00:00,2.0,51.7,124.9,2.3
PUMP_002,2024-03-11 12:00:00,2.1,51.5,124.7,2.4
PUMP_002,2024-03-18 12:00:00,2.0,51.6,124.8,2.3
PUMP_002,2024-03-25 12:00:00,2.1,51.4,124.6,2.2
PUMP_003,2024-01-01 12:00:00,4.2,38.5,110.2,1.8
PUMP_003,2024-01-08 12:00:00,4.5,38.0,109.7,1.7
PUMP_003,2024-01-15 12:00:00,4.8,37.5,109.2,1.8
PUMP_003,2024-01-22 12:00:00,5.1,37.0,108.7,1.7
PUMP_003,2024-01-29 12:00:00,5.4,36.5,108.2,1.6
PUMP_003,2024-02-05 12:00:00,5.6,36.2,107.9,1.7
PUMP_003,2024-02-12 12:00:00,5.8,35.9,107.6,1.8
PUMP_003,2024-02-19 12:00:00,6.0,35.6,107.3,1.6
PUMP_003,2024-02-26 12:00:00,6.2,35.3,107.0,1.7
PUMP_003,2024-03-04 12:00:00,6.4,35.0,106.7,1.8
PUMP_003,2024-03-11 12:00:00,6.6,34.7,106.4,1.6
PUMP_003,2024-03-18 12:00:00,6.8,34.4,106.1,1.7
PUMP_003,2024-03-25 12:00:00,7.0,34.1,105.8,1.8
PUMP_004,2024-01-01 12:00:00,2.1,48.3,122.7,2.2
PUMP_004,2024-01-08 12:00:00,2.2,48.2,122.6,2.1
PUMP_004,2024-01-15 12:00:00,2.3,48.0,122.4,2.2
PUMP_004,2024-01-22 12:00:00,2.2,48.1,122.5,2.3
PUMP_004,2024-01-29 12:00:00,2.4,47.9,122.3,2.1
PUMP_004,2024-02-05 12:00:00,2.3,48.0,122.4,2.2
PUMP_004,2024-02-12 12:00:00,2.5,47.8,122.2,2.3
PUMP_004,2024-02-19 12:00:00,2.4,47.9,122.3,2.1
PUMP_004,2024-02-26 12:00:00,2.6,47.7,122.1,2.2
PUMP_004,2024-03-04 12:00:00,2.5,47.8,122.2,2.3
PUMP_004,2024-03-11 12:00:00,2.7,47.6,122.0,2.1
PUMP_004,2024-03-18 12:00:00,2.6,47.7,122.1,2.2
PUMP_004,2024-03-25 12:00:00,2.8,47.5,121.9,2.3
PUMP_005,2024-01-01 12:00:00,3.8,41.2,115.4,1.9
PUMP_005,2024-01-08 12:00:00,4.0,40.9,115.1,1.8
PUMP_005,2024-01-15 12:00:00,4.2,40.6,114.8,1.9
PUMP_005,2024-01-22 12:00:00,4.4,40.3,114.5,2.0
PUMP_005,2024-01-29 12:00:00,4.5,40.1,114.3,1.8
PUMP_005,2024-02-05 12:00:00,4.7,39.8,114.0,1.9
PUMP_005,2024-02-12 12:00:00,4.9,39.5,113.7,2.0
PUMP_005,2024-02-19 12:00:00,5.0,39.3,113.5,1.8
PUMP_005,2024-02-26 12:00:00,5.2,39.0,113.2,1.9
PUMP_005,2024-03-04 12:00:00,5.3,38.8,113.0,2.0
PUMP_005,2024-03-11 12:00:00,5.5,38.5,112.7,1.8
PUMP_005,2024-03-18 12:00:00,5.6,38.3,112.5,1.9
PUMP_005,2024-03-25 12:00:00,5.8,38.0,112.2,2.0
PUMP_006,2024-01-01 12:00:00,1.7,53.5,126.8,2.4
PUMP_006,2024-01-08 12:00:00,1.7,53.4,126.7,2.4
PUMP_006,2024-01-15 12:00:00,1.8,53.3,126.6,2.5
PUMP_006,2024-01-22 12:00:00,1.7,53.5,126.8,2.4
PUMP_006,2024-01-29 12:00:00,1.8,53.2,126.5,2.3
PUMP_006,2024-02-05 12:00:00,1.8,53.3,126.6,2.4
PUMP_006,2024-02-12 12:00:00,1.9,53.1,126.4,2.5
PUMP_006,2024-02-19 12:00:00,1.8,53.2,126.5,2.4
PUMP_006,2024-02-26 12:00:00,1.9,53.0,126.3,2.3
PUMP_006,2024-03-04 12:00:00,1.9,53.1,126.4,2.4
PUMP_006,2024-03-11 12:00:00,2.0,52.9,126.2,2.5
PUMP_006,2024-03-18 12:00:00,1.9,53.0,126.3,2.4
PUMP_006,2024-03-25 12:00:00,2.0,52.8,126.1,2.3
PUMP_007,2024-01-01 12:00:00,2.9,46.1,118.9,2.0
PUMP_007,2024-01-08 12:00:00,3.1,45.8,118.6,1.9
PUMP_007,2024-01-15 12:00:00,3.3,45.5,118.3,2.0
PUMP_007,2024-01-22 12:00:00,3.5,45.2,118.0,2.1
PUMP_007,2024-01-29 12:00:00,3.6,45.0,117.8,1.9
PUMP_007,2024-02-05 12:00:00,3.8,44.7,117.5,2.0
PUMP_007,2024-02-12 12:00:00,4.0,44.4,117.2,2.1
PUMP_007,2024-02-19 12:00:00,4.1,44.2,117.0,1.9
PUMP_007,2024-02-26 12:00:00,4.3,43.9,116.7,2.0
PUMP_007,2024-03-04 12:00:00,4.4,43.7,116.5,2.1
PUMP_007,2024-03-11 12:00:00,4.6,43.4,116.2,1.9
PUMP_007,2024-03-18 12:00:00,4.7,43.2,116.0,2.0
PUMP_007,2024-03-25 12:00:00,4.9,42.9,115.7,2.1
