fault_history_id,pump_id,fault_code,fault_date,reset_method
FH_001,PUMP_001,FC_001,2024-01-05,MANUAL_RESTART
FH_002,PUMP_003,FC_005,2024-01-12,BEARING_REPLACEMENT
FH_003,PUMP_009,FC_006,2024-01-20,SEAL_REPLACEMENT
FH_004,PUMP_001,FC_001,2024-02-03,CALIBRATION
FH_005,PUMP_005,FC_002,2024-02-16,MOTOR_COOLDOWN
FH_006,PUMP_007,FC_003,2024-02-28,IMPELLER_CLEANING
FH_007,PUMP_003,FC_015,2024-03-10,SYSTEM_FLUSH
FH_008,PUMP_009,FC_005,2024-03-25,BEARING_REPLACEMENT
FH_009,PUMP_001,FC_008,2024-04-08,SENSOR_REPLACEMENT
FH_010,PUMP_004,FC_001,2024-04-20,MANUAL_RESTART
FH_011,PUMP_005,FC_006,2024-05-05,SEAL_REPLACEMENT
FH_012,PUMP_008,FC_015,2024-05-15,PRESSURE_ADJUSTMENT
FH_013,PUMP_002,FC_003,2024-05-28,IMPELLER_CLEANING
FH_014,PUMP_007,FC_002,2024-06-12,MOTOR_REPLACEMENT
FH_015,PUMP_003,FC_006,2024-06-27,SEAL_REPLACEMENT
FH_016,PUMP_010,FC_001,2024-07-10,CALIBRATION
FH_017,PUMP_006,FC_008,2024-07-23,SENSOR_REPLACEMENT
FH_018,PUMP_009,FC_015,2024-08-06,PIPE_REPAIR
FH_019,PUMP_001,FC_003,2024-08-19,IMPELLER_CLEANING
FH_020,PUMP_005,FC_005,2024-09-02,BEARING_REPLACEMENT
FH_021,PUMP_004,FC_002,2024-09-15,MOTOR_COOLDOWN
FH_022,PUMP_003,FC_001,2024-09-28,MANUAL_RESTART
FH_023,PUMP_007,FC_010,2024-10-11,IMPELLER_REPLACEMENT
FH_024,PUMP_002,FC_009,2024-10-24,SENSOR_CALIBRATION
FH_025,PUMP_009,FC_013,2024-11-06,SYSTEM_RESET
