pump_id,model,latitude,longitude,warranty_expiry_date,service_age_days
PUMP_001,AquaFlow-3000,40.7128,-74.0060,2025-06-30,892
PUMP_002,AquaFlow-3000,40.7589,-73.9851,2026-03-15,456
PUMP_003,HydroMax-5000,40.7580,-73.9855,2024-12-31,1245
PUMP_004,AquaFlow-3000,40.7614,-73.9776,2025-09-20,678
PUMP_005,HydroMax-5000,40.7489,-73.9680,2024-11-10,1389
PUMP_006,AquaFlow-4500,40.7829,-73.9654,2026-07-01,234
PUMP_007,HydroMax-5000,40.7282,-74.0776,2025-02-28,1023
PUMP_008,AquaFlow-4500,40.7061,-74.0087,2026-01-15,512
PUMP_009,HydroMax-5000,40.7306,-73.9352,2024-08-20,1567
PUMP_010,AquaFlow-4500,40.7549,-73.9840,2025-12-05,589

