incident_id,pump_id,date,incident_type,patient_impact
INC_001,PUMP_003,2024-01-15,BEARING_FAILURE,HIGH
INC_002,PUMP_009,2024-01-22,SEAL_LEAK,MEDIUM
INC_003,PUMP_001,2024-02-05,VIBRATION_ALARM,LOW
INC_004,PUMP_005,2024-02-18,MOTOR_OVERHEAT,HIGH
INC_005,PUMP_007,2024-03-02,FLOW_DEGRADATION,MEDIUM
INC_006,PUMP_003,2024-03-14,PRESSURE_DROP,HIGH
INC_007,PUMP_009,2024-03-28,BEARING_FAILURE,CRITICAL
INC_008,PUMP_001,2024-04-10,CHLORINE_SENSOR_FAIL,LOW
INC_009,PUMP_004,2024-04-23,VIBRATION_ALARM,LOW
INC_010,PUMP_005,2024-05-07,SEAL_LEAK,MEDIUM
INC_011,PUMP_008,2024-05-19,PRESSURE_DROP,MEDIUM
INC_012,PUMP_002,2024-06-01,FLOW_DEGRADATION,LOW
INC_013,PUMP_007,2024-06-15,MOTOR_OVERHEAT,HIGH
INC_014,PUMP_003,2024-06-29,SEAL_LEAK,CRITICAL
INC_015,PUMP_010,2024-07-12,VIBRATION_ALARM,LOW
INC_016,PUMP_006,2024-07-26,CHLORINE_SENSOR_FAIL,LOW
INC_017,PUMP_009,2024-08-08,PRESSURE_DROP,CRITICAL
INC_018,PUMP_001,2024-08-22,FLOW_DEGRADATION,MEDIUM
INC_019,PUMP_005,2024-09-05,BEARING_FAILURE,HIGH
INC_020,PUMP_004,2024-09-18,MOTOR_OVERHEAT,MEDIUM

